032,112025,922,12038699,1
032,112025,924,3100679,1
032,112025,924,19998836,1
032,112025,924,30281383,1
032,112025,1471144,2975969,3
032,112025,1471177,2936808,3
032,112025,1471199,2983655,3
032,112025,1471202,24215113,3
032,112025,1471205,2915832,3
032,112025,1471208,2917151,3
032,112025,1471221,3204122,3
032,112025,1471224,2943341,3
032,112025,1471224,30093360,3
032,112025,1471227,2944571,3
032,112025,1471230,3195402,3
032,112025,1471233,2928413,3
032,112025,1471237,924,3
032,112025,1471240,2928083,3
032,112025,1471243,3197650,3
032,112025,1471243,16935171,3
032,112025,1471246,2916305,3
032,112025,1471249,2904179,3
032,112025,1471252,2904059,3
032,112025,1471255,2916641,3
032,112025,1471258,2916683,3
032,112025,1471261,17126602,3
032,112025,1471264,2884686,3
032,112025,1471267,3198678,3
032,112025,1471267,16964579,3
032,112025,1471270,4017782,3
032,112025,1471270,17128185,3
032,112025,1471273,4017797,3
032,112025,1471273,17127936,3
032,112025,1471276,17126445,3
032,112025,1471218,3201902,3
032,112025,1471599,23999253,3
032,112025,1471602,3202554,3
032,112025,1471605,4025942,3
032,112025,1471605,17128553,3
032,112025,1471644,3197218,3
032,112025,1471647,2956908,3
032,112025,1471650,2956914,3
032,112025,1471653,2956920,3
032,112025,1471656,2956950,3
032,112025,1471659,2956943,3
032,112025,1471662,2956932,3
032,112025,1471665,2956926,3
032,112025,1471671,3090767,3
032,112025,1471674,3090683,3
032,112025,1471677,3194422,3
032,112025,1471719,17060591,3
032,112025,1471719,17128415,3
032,112025,1471722,3202394,3
032,112025,1471725,3095435,3
032,112025,1471728,3095447,3
032,112025,1471286,9940618,3
032,112025,1471289,2949623,3
032,112025,1471292,2949618,3
032,112025,1471295,2949617,3
032,112025,1471298,2972237,3
032,112025,1471301,2949611,3
032,112025,1471304,2949612,3
032,112025,1471307,2949605,3
032,112025,1471310,2949599,3
032,112025,1471313,2949600,3
032,112025,1471316,2972250,3
032,112025,1471319,3204258,3
032,112025,1471322,2972273,3
032,112025,1471325,2949593,3
032,112025,1471328,2949587,3
032,112025,1471331,2988845,3
032,112025,1471334,2949828,3
032,112025,1471337,2949821,3
032,112025,1471340,2959374,3
032,112025,1471343,3202130,3
032,112025,1471346,2949815,3
032,112025,1471349,2949809,3
032,112025,1471353,2949803,3
032,112025,1471356,2949797,3
032,112025,1471356,16922085,3
032,112025,1471359,2949792,3
032,112025,1471362,36044159,3
032,112025,1471365,2949420,3
032,112025,1471368,2949779,3
032,112025,1471371,2949773,3
032,112025,1471374,2949767,3
032,112025,1471374,3215622,3
032,112025,1471377,2949768,3
032,112025,1471380,2949761,3
032,112025,1471383,3208870,3
032,112025,1471386,3051905,3
032,112025,1471386,43386676,3
032,112025,1471392,2970852,3
032,112025,1471392,3208874,3
032,112025,1471395,2949743,3
032,112025,1471395,16964556,3
032,112025,1471398,2949744,3
032,112025,1471401,16856698,3
032,112025,1471401,19998708,3
032,112025,1471404,2949731,3
032,112025,1471407,2949725,3
032,112025,1471410,2949726,3
032,112025,1471413,2949719,3
032,112025,1471416,2949713,3
032,112025,1471420,2949707,3
032,112025,1471424,2949701,3
032,112025,1471428,2949702,3
032,112025,1471432,2970755,3
032,112025,1471436,2970761,3
032,112025,1471440,2990459,3
032,112025,1471444,2949695,3
032,112025,1471448,2949690,3
032,112025,1471452,2949683,3
032,112025,1471456,2949677,3
032,112025,1471456,17089155,3
032,112025,1471460,2949678,3
032,112025,1471463,2949671,3
032,112025,1471466,2949672,3
032,112025,1471469,3202126,3
032,112025,1471469,30312377,3
032,112025,1471472,2949659,3
032,112025,1471472,16789307,3
032,112025,1471476,2949653,3
032,112025,1471480,21474307,3
032,112025,1471484,2949641,3
032,112025,1471488,2949635,3
032,112025,1471492,2949413,3
032,112025,1471496,2949414,3
032,112025,1471496,3215610,3
032,112025,1471500,2949630,3
032,112025,1471500,3208922,3
032,112025,1471503,2970977,3
032,112025,1471506,2949035,3
032,112025,1471509,4016672,3
032,112025,1471509,17128438,3
032,112025,1471512,2949083,3
032,112025,1471515,2949077,3
